Date;Location;MinTemp;MaxTemp;Rainfall;WindGustDir;WindGustSpeed;WindDir9am;WindDir3pm;WindSpeed9am;WindSpeed3pm;Humidity9am;Humidity3pm;Pressure9am;Pressure3pm;Temp9am;Temp3pm;RainToday;RainTomorrow
01/01/2009;Adelaide;13.4;22.9;0.6;W;44;W;WNW;20;24;71;22;1007.7;1007.1;16.9;21.8;No;No
01/01/2009;Brisbane;7.4;25.1;0;WNW;44;NNW;WSW;4;22;44;25;1010.6;1007.8;17.2;24.3;No;No
01/01/2009;Canberra;12.9;25.7;0;WSW;46;W;WSW;19;26;38;30;1007.6;1008.7;21;23.2;No;No
01/01/2009;Sydney;9.2;28;0;NE;24;SE;E;11;9;45;16;1017.6;1012.8;18.1;26.5;No;No
01/01/2009;Melbourne;17.5;32.3;1;W;41;ENE;NW;7;20;82;33;1010.8;1006;17.8;29.7;No;No
02/01/2009;Adelaide;14.6;29.7;0.2;WNW;56;W;W;19;24;55;23;1009.2;1005.4;20.6;28.9;No;No
02/01/2009;Brisbane;14.3;25;0;W;50;SW;W;20;24;49;19;1009.6;1008.2;18.1;24.6;No;No
02/01/2009;Canberra;7.7;26.7;0;W;35;SSE;W;6;17;48;19;1013.4;1010.1;16.3;25.5;No;No
02/01/2009;Sydney;9.7;31.9;0;NNW;80;SE;NW;7;28;42;9;1008.9;1003.6;18.3;30.2;No;Yes
02/01/2009;Melbourne;13.1;30.1;1.4;W;28;S;SSE;15;11;58;27;1007;1005.7;20.1;28.2;Yes;No
03/01/2009;Adelaide;13.4;30.4;0;N;30;SSE;ESE;17;6;48;22;1011.8;1008.7;20.4;28.8;No;Yes
03/01/2009;Brisbane;15.9;21.7;2.2;NNE;31;NE;ENE;15;13;89;91;1010.5;1004.2;15.9;17;Yes;Yes
03/01/2009;Canberra;15.9;18.6;15.6;W;61;NNW;NNW;28;28;76;93;994.3;993;17.4;15.8;Yes;Yes
03/01/2009;Sydney;12.6;21;3.6;SW;44;W;SSW;24;20;65;43;1001.2;1001.8;15.8;19.8;Yes;No
